ACX, ACY, ACZ, GYX, GYY, GYZ
1848, 15172, 1660, -7664, -1304, 3369
4820, 10740, 9364, -12414, -3397, 1770
6088, 1316, 11920, -15704, -681, 4161
5688, -4416, 14040, -4913, -715, 1189
5476, -10244, 14252, -9392, 4999, 2899
3128, -13088, 9728, 2054, 112, -1131
2804, -12492, 8732, 64, 1494, 434
2588, -13516, 7608, 2839, 287, -413
2696, -11912, 9708, 5121, -785, 1308
2340, -8324, 12956, 8277, -792, 242
5432, -852, 16192, 5288, 1008, -1466
4216, 1384, 14812, 2376, 853, -601
3076, 696, 14068, 1164, 159, 130
3132, 920, 14212, 1542, 54, -16
2864, 812, 14228, 1958, -189, 726
2824, 812, 13944, 1551, -178, 692
3352, 712, 13716, 987, 324, 582
3012, -24, 13236, 811, -200, 2398
600, -1500, 16368, 4292, 2539, 8175
3404, 976, 16184, 2123, 2650, 10129
1188, 84, 14920, 2426, -492, 7230
4488, 1188, 13644, 390, 2380, 4293
4968, 124, 16464, 4371, 382, 7217
6028, -148, 14944, 3049, -2318, -5133
5836, -236, 12820, 2159, -2035, 9811
6488, 12, 13664, -799, 2459, 3640
4884, -1388, 13736, 1251, 3554, -12231
3628, -276, 13580, 1024, 1223, -1147
