ACX,ACY,ACZ,GYX,GYY,GYZ,PRE,ALT,TEMP,
-752,144,15084,-378,-550,-72,999.62,47.94,22.53,
-648,208,15116,-381,-556,-87,999.53,48.69,22.53,
-648,48,14944,-355,-551,-73,1002.46,23.96,23.53,
-572,168,15036,-366,-537,-46,1002.46,23.96,23.53,
-600,68,15032,-363,-535,-94,999.45,49.31,22.53,
-604,72,14996,-366,-561,-67,1002.48,23.83,23.53,
-608,60,15064,-359,-528,-53,999.57,48.31,22.53,
-628,4,15108,-380,-538,-87,999.56,48.44,22.53,
-648,156,15044,-360,-534,-57,999.57,48.31,22.53,
-756,76,15124,-358,-528,-88,1002.49,23.71,23.53,
-728,40,15212,-359,-551,-52,999.59,48.19,22.53,
-588,160,15088,-359,-555,-78,999.62,47.94,22.53,
-608,144,15040,-374,-553,-66,999.57,48.31,22.53,
-664,148,15248,-394,-553,-54,999.54,48.56,22.53,
-540,68,15096,-371,-560,-75,999.54,48.56,22.53,
-656,-4,15128,-368,-528,-91,999.59,48.19,22.53,
-608,104,15064,-363,-557,-54,1002.46,23.96,23.53,
-680,60,15168,-387,-533,-70,999.63,47.81,22.53,
-568,64,15104,-368,-543,-75,999.57,48.31,22.53,
-596,116,15076,-349,-532,-49,1002.55,23.21,23.53,
-596,24,15228,-372,-546,-72,999.54,48.56,22.53,
-624,32,15020,-368,-557,-78,999.53,48.69,22.53,
-520,112,15172,-368,-533,-72,999.54,48.56,22.53,
-776,-28,15276,-376,-675,-78,999.59,48.19,22.53,
-568,64,15084,-359,-517,-89,999.59,48.19,22.53,
-832,116,15104,-393,-631,-77,999.54,48.56,22.53,
-676,96,15548,-360,-567,-79,999.57,48.31,22.53,
444,-672,15536,-249,-321,-17,1002.57,23.08,23.53,
-2120,-1092,19796,3585,994,1481,999.57,48.31,22.53,
-5960,2856,21968,12395,1533,1699,999.54,48.56,22.53,
-656,2668,16880,11896,279,3688,999.54,48.56,22.53,
1616,2348,7248,10945,396,106,1002.51,23.58,23.53,
-556,4160,2864,494,-1857,2094,999.53,48.69,22.53,
1672,4732,7836,-8075,-2208,1544,999.57,48.31,22.53,
2120,4120,16304,-12982,-1482,-2305,1002.48,23.83,23.53,
-4624,2908,26084,-6385,219,-2287,1002.54,23.33,23.53,
-2528,1464,23304,7886,1061,1478,1002.52,23.46,23.53,
812,3528,15084,18427,-191,3529,999.59,48.19,22.53,
1392,3496,6280,11259,-3857,-1092,999.51,48.81,22.53,
216,4632,1188,-4433,-1326,-3409,999.54,48.56,22.53,
180,6080,9712,-18506,-2153,-769,999.51,48.81,22.53,
224,3088,21928,-14194,-4121,-851,1002.51,23.58,23.53,
-1256,2264,23148,-1592,141,25,999.59,48.19,22.53,
-1364,2396,14596,4373,-298,1702,999.57,48.31,22.53,
3352,2608,8448,-3103,42,276,999.57,48.31,22.53,
-120,2108,14752,-6822,653,-481,999.63,47.81,22.53,
-1280,304,17920,-6927,1608,134,1002.54,23.33,23.53,
-1016,660,16972,-3437,-49,210,1002.60,22.83,23.53,
-1168,224,16504,-1278,702,27,999.66,47.56,22.53,
-1008,252,15032,-767,85,-105,999.66,47.56,22.53,
-1064,112,15176,-420,-520,-83,999.65,47.69,22.53,
-1116,80,15092,-388,-528,-112,1002.58,22.96,23.53,
-872,128,15108,-356,-729,-295,999.63,47.81,22.53,
-1196,44,14772,-379,-1091,-302,999.66,47.56,22.53,
-1028,32,15012,-460,-731,254,1002.55,23.21,23.53,
-1056,92,15048,-445,-1242,732,1002.55,23.21,23.53,
-824,248,15000,-359,-817,-103,999.63,47.81,22.53,
-732,64,15148,-362,-716,-54,999.62,47.94,22.53,
-824,168,15168,-365,-608,-71,1002.64,22.46,23.53,
-856,96,15116,-380,-574,-85,999.66,47.56,22.53,
-724,104,15176,-382,-564,-75,1002.54,23.33,23.53,
-736,152,15192,-379,-576,-37,1002.57,23.08,23.53,
-816,4,15208,-381,-542,-65,999.59,48.19,22.53,
-816,112,15180,-356,-540,-81,1002.51,23.58,23.53,
-756,60,15004,-394,-530,-101,1002.58,22.96,23.53,
-724,128,15164,-350,-539,-69,1002.60,22.83,23.53,
-848,96,15032,-364,-530,-71,999.66,47.56,22.53,
-720,192,15036,-402,-544,-89,999.59,48.19,22.53,
-892,180,15308,-371,-568,-74,1002.60,22.83,23.53,
-664,76,15160,-376,-550,-81,999.59,48.19,22.53,
-840,64,15104,-369,-531,-59,1002.55,23.21,23.53,
-720,132,15132,-354,-537,-76,1002.58,22.96,23.53,
-800,96,14704,-387,-509,-68,1002.58,22.96,23.53,
-788,60,14980,-358,-548,-80,999.65,47.69,22.53,
-636,148,14864,-371,-537,-82,1002.67,22.21,23.53,
-784,76,15124,-390,-566,-84,1002.55,23.21,23.53,
-876,-12,15100,-365,-551,-83,1002.55,23.21,23.53,
-788,136,15152,-373,-536,-56,999.60,48.06,22.53,
-888,92,15112,-369,-544,-85,999.63,47.81,22.53,
-936,24,15048,-374,-534,-49,1002.51,23.58,23.53,
-704,124,15112,-360,-547,-76,1002.54,23.33,23.53,
-812,76,15036,-376,-537,-82,1002.49,23.71,23.53,
-768,72,15168,-369,-547,-57,1002.55,23.21,23.53,
-672,36,15108,-369,-545,-80,1002.55,23.21,23.53,
-780,-24,14860,-386,-569,-80,1002.61,22.71,23.53,
-688,88,15420,-383,-567,-74,1002.58,22.96,23.53,
-716,76,15260,-389,-573,-54,999.59,48.19,22.53,
-744,84,15332,-367,-558,-74,1002.60,22.83,23.53,
-680,108,15092,-357,-538,-80,1002.64,22.46,23.53,
-880,20,15024,-357,-529,-75,1002.57,23.08,23.53,
-740,4,15184,-372,-527,-70,999.71,47.19,22.53,
-800,76,15000,-371,-553,-64,1002.61,22.71,23.53,
-712,76,15044,-358,-546,-76,1002.66,22.33,23.53,
-860,64,15084,-356,-542,-79,999.63,47.81,22.53,
-864,164,15136,-357,-564,-67,1002.57,23.08,23.53,
-844,52,15236,-391,-546,-84,1002.61,22.71,23.53
